firstname,lastname,city,year,ethnicity
Marty,Medina,San Bruno,2022,hispanic
Matt,Lavere,San Buenaventuara,2016,white
Christy,Weir,San Buenaventuara,2016,white
Cheryl,Heitmann,San Buenaventuara,2016,white
Cheryl,Heitmann,San Buenaventura,2011,white
Carl,Morehouse,San Buenaventura,2011,white
Christy,Weir,San Buenaventura,2011,white
Erik,Nasarenko,San Buenaventura,2013,white
Mike,Tracy,San Buenaventura,2013,white
Neal,Andrews,San Buenaventura,2013,white
Jim,Monahan,San Buenaventura,2013,white
Sofia,Rubalcava,San Buenaventura,2018,hispanic
Erik,Nasarenko,San Buenaventura,2018,white
Jim,Friedman,San Buenaventura,2018,white
Lorrie,Brown,San Buenaventura,2018,black
Doug,Halter,San Buenaventura,2020,white
Mike,Johnson,San Buenaventura,2020,black
Joe,Schroeder,San Buenaventura,2020,white
Liz,Campos,San Buenaventura,2022,hispanic
Jeannette,Sanchez-Palacios,San Buenaventura,2022,hispanic
Bill,McReynolds,San Buenaventura,2022,white
Jim,Duran,San Buenaventura,2022,hispanic
Mark,Olbert,San Carlos,2011,white
Ron,Collins,San Carlos,2011,white
Bob,Grassilli,San Carlos,2013,white
Cameron,Johnson,San Carlos,2013,black
Matt,Grocott,San Carlos,2013,white
Ron,Collins,San Carlos,2015,white
Mark,Olbert,San Carlos,2015,white
Sara,McDowell,San Carlos,2018,white
Laura,Parmer-Lohan,San Carlos,2018,white
Adam,Rak,San Carlos,2018,white
John,Dugan,San Carlos,2020,white
Ron,Collins,San Carlos,2020,white
Sara,McDowell,San Carlos,2022,white
Adam,Rak,San Carlos,2022,white
Pranita,Venkatesh,San Carlos,2022,asian
Tim,Brown,SAN CLEMENTE,2010,black
Lori,Donchak,SAN CLEMENTE,2010,white
Jim,Evert,SAN CLEMENTE,2010,white
Robert,Baker,San Clemente,2012,white
Tim,Brown,San Clemente,2014,black
Lori,Donchak,San Clemente,2014,white
Kathy,Ward,San Clemente,2014,white
Chris,Hamm,San Clemente,2016,white
Steven,Swartz,San Clemente,2016,white
Dan,Bane,San Clemente,2018,white
Laura,Ferguson,San Clemente,2018,white
Kathy,Ward,San Clemente,2018,white
Gene,James,San Clemente,2019,white
Chris,Duncan,San Clemente,2020,white
Steven,Knoblock,San Clemente,2020,white
Gene,James,San Clemente,2020,white
Victor,Cabral,San Clemente,2022,hispanic
Mark,Enmeier,San Clemente,2022,white
Steven,Knoblock,San Clemente,2022,white
Kevin,Faulconer,SAN DIEGO,2010,white
Tony,Young,SAN DIEGO,2010,white
Lorie,Zapf,SAN DIEGO,2010,white
David,Alvarez,SAN DIEGO,2010,hispanic
Ray,Ellis,San Diego,2012,white
Mark,Kersey,San Diego,2012,white
Scott,Sherman,San Diego,2012,white
Todd,Gloria,San Diego,2012,white
Marti,Emerald,San Diego,2012,white
Sherri,Lightner,San Diego,2012,white
Myrtle,Cole,San Diego,2013,black
Dwayne,Crenshaw,San Diego,2013,white
Lorie,Zapf,San Diego,2014,white
Myrtle,Cole,San Diego,2014,black
David,Alvarez,San Diego,2014,hispanic
Chirs,Cate,San Diego,2014,white
Chris,Ward,San Diego,2016,white
Mark,Kersey,San Diego,2016,white
Scott,Sherman,San Diego,2016,white
Barbara,Bry,San Diego,2016,white
Georgette,Gomez,San Diego,2016,hispanic
Lorie,Zapf,San Diego,2018,white
Monica,Montgomery,San Diego,2018,white
Chris,Cate,San Diego,2018,white
Vivian,Moreno,San Diego,2018,hispanic
Jennifer,Campbell,San Diego,2018,white
Joe,Lacava,San Diego,2020,hispanic
Stephen,Whitburn,San Diego,2020,white
Marni,Wilpert,San Diego,2020,white
Sean,Elo-Rivera,San Diego,2020,hispanic
Raul,Campillo,San Diego,2020,hispanic
Jennifer,Campbell,San Diego,2022,white
Monica,Steppe,San Diego,2022,white
Kent,Lee,San Diego,2022,asian
Vivian,Moreno,San Diego,2022,hispanic
Emmett,Badar,San Dimas,2011,white
John,Ebiner,San Dimas,2011,white
Jeff,Templeman,San Dimas,2013,white
Denis,Bertone,San Dimas,2013,white
Emmett,Badar,San Dimas,2015,white
John,Ebiner,San Dimas,2015,white
Denis,Bertone,San Dimas,2017,white
Ryan,Vienna,San Dimas,2017,white
Eric,Weber,San Dimas,2020,white
John,Ebiner,San Dimas,2020,white
Eric,Nakano,San Dimas,2022,asian
Ryan,Vienna,San Dimas,2022,white
Antonio,Lopez,San Fernando,2011,hispanic
Brenda,Esqueda,San Fernando,2011,hispanic
Sylvia,Ballin,San Fernando,2011,white
Robert,Gonzales,San Fernando,2012,hispanic
Joel,Fajardo,San Fernando,2012,hispanic
Jaime,Soto,San Fernando,2015,hispanic
Sylvia,Ballin,San Fernando,2015,white
Antonio,Lopez,San Fernando,2015,hispanic
Joel,Fajardo,San Fernando,2017,hispanic
Robert,Gonzales,San Fernando,2017,hispanic
Sylvia,Ballin,San Fernando,2018,white
Antonio,Lopez,San Fernando,2018,hispanic
Hector,Pacheco,San Fernando,2018,hispanic
Cindy,Montañez,San Fernando,2020,hispanic
Celeste,Rodriguez,San Fernando,2020,hispanic
Mary,Mendoza,San Fernando,2020,hispanic
Joel,Fajardo,San Fernando,2022,hispanic
Mary,Mendoza,San Fernando,2022,hispanic
Mary,Solorio,San Fernando,2022,hispanic
John,Harrington,San Gabriel,2011,white
Juli,Constanzo,San Gabriel,2011,white
Jason,Pu,San Gabriel,2013,asian
Chin,Liao,San Gabriel,2013,asian
Kevin,Sawkins,San Gabriel,2013,white
John,Harrington,San Gabriel,2015,white
Juli,Costanzo,San Gabriel,2015,white
Chin,Liao,San Gabriel,2017,asian
Denise,Menchaca,San Gabriel,2017,hispanic
Jason,Pu,San Gabriel,2017,asian
Tony,Ding,San Gabriel,2020,asian
John,Harrington,San Gabriel,2020,white
John,Wu,San Gabriel,2022,asian
Denise,Menchaca,San Gabriel,2022,hispanic
Eric,Chan,San Gabriel,2022,asian
Andrew,Kotyuk,San Jaciinto,2016,white
Crystal,Ruiz,San Jaciinto,2016,hispanic
Russ,Utz,San Jaciinto,2016,white
Alonso,Ledezma,SAN JACINTO,2010,hispanic
Scott,Miller,SAN JACINTO,2010,white
Andrew,Kotyuk,SAN JACINTO,2010,white
Mark,Bartel,SAN JACINTO,2010,white
Crystal,Ruiz,San Jacinto,2012,hispanic
Mark,Bartel,San Jacinto,2012,white
Andrew,Kotyuk,San Jacinto,2012,white
Scott,Miller,San Jacinto,2014,white
Alonso,Ledezma,San Jacinto,2014,hispanic
Alonso,Ledezma,San Jacinto,2018,hispanic
Joel,Lopez,San Jacinto,2018,hispanic
Phil,Ayala,San Jacinto,2020,hispanic
Brian,Hawkins,San Jacinto,2020,white
Crystal,Ruiz,San Jacinto,2020,hispanic
Valerie,Vandever,San Jacinto,2022,white
Alonso,Ledezma,San Jacinto,2022,hispanic
Mary,Modesto-Reynaga,SAN JOAQUIN,2010,hispanic
Betty,Vallejo,SAN JOAQUIN,2010,hispanic
Jose,Ornelas,San Joaquin,2014,hispanic
Betty,Vallejo,San Joaquin,2014,hispanic
Abel,Lua,San Joaquin,2016,hispanic
Amarpeet,Dhaliwal,San Joaquin,2016,asian
Julia,Hernandez,San Joaquin,2016,hispanic
Adam,Flores,San Joaquin,2018,hispanic
Jose,Ornelas,San Joaquin,2018,hispanic
Maria,Covarrubia,San Joaquin,2020,hispanic
Julia,Hernandez,San Joaquin,2020,hispanic
Abel,Lua,San Joaquin,2020,hispanic
Pete,Constant,SAN JOSE,2010,white
Sam,Liccardo,SAN JOSE,2010,white
Xavier,Campos,SAN JOSE,2010,hispanic
Madison,Nguyen,SAN JOSE,2010,asian
Donald,Rocha,SAN JOSE,2010,hispanic
Johnny,Khamis,San Jose,2012,white
Rose,Herrera,San Jose,2012,hispanic
Ash,Kalra,San Jose,2012,asian
Kansen,Chu,San Jose,2012,asian
Pierluigi,Oliverio,San Jose,2012,white
Magdalena,Carrasco,San Jose,2014,hispanic
Donald,Rocha,San Jose,2014,hispanic
Charles,Jones,San Jose,2014,black
Raul,Peralez,San Jose,2014,hispanic
Tam,Nguyen,San Jose,2014,asian
Manh,Nguyen,San Jose,2015,asian
Johnny,Khamis,San Jose,2016,white
Lan,Diep,San Jose,2016,asian
Sergio,Jimenez,San Jose,2016,hispanic
Devora,Davis,San Jose,2016,black
Sylvia,Arenas,San Jose,2016,hispanic
Charles,Jones,San Jose,2018,black
Raul,Peralez,San Jose,2018,hispanic
Magdalena,Carrasco,San Jose,2018,hispanic
Maya,Esparza,San Jose,2018,hispanic
Pam,Foley,San Jose,2018,white
David,Cohen,San Jose,2020,white
Matt,Mahan,San Jose,2020,white
Sergio,Jimenez,San Jose,2020,hispanic
Sylvia,Arenas,San Jose,2020,hispanic
Devora,Davis,San Jose,2020,black
Rosemary,Kamei,San Jose,2022,white
Pamela,Foley,San Jose,2022,white
Omar,Torres,San Jose,2022,hispanic
Peter,Ortiz,San Jose,2022,hispanic
Bien,Doan,San Jose,2022,asian
Tony,Boch,SAN JUAN BAUTISTA,2010,white
Jolene,Cosio,SAN JUAN BAUTISTA,2010,hispanic
Andy,Moore,SAN JUAN BAUTISTA,2010,white
Robert,Lund,San Juan Bautista,2012,white
Rick,Edge,San Juan Bautista,2012,white
Jim,West,San Juan Bautista,2014,white
Chris,Martorana,San Juan Bautista,2014,white
Tony,Boch,San Juan Bautista,2014,white
John,Freeman,San Juan Bautista,2016,white
Dan,De Vries,San Juan Bautista,2016,white
Mary,Edge,San Juan Bautista,2018,white
Cesar,Flores,San Juan Bautista,2018,hispanic
Leslie,Jordan,San Juan Bautista,2018,white
Jackie,Morris-Lopez,San Juan Bautista,2022,hispanic
Leslie,Jordan,San Juan Bautista,2022,white
Edwin,Sabathia,San Juan Bautista,2022,white
Scott,Freels,San Juan Bautistia,2020,white
John,Freeman,San Juan Bautistia,2020,white
Larry,Kramer,SAN JUAN CAPISTRANO,2010,white
Derek,Reeve,SAN JUAN CAPISTRANO,2010,white
John,Taylor,SAN JUAN CAPISTRANO,2010,white
Roy,Byrnes,San Juan Capistrano,2012,white
Sam,Allevato,San Juan Capistrano,2012,black
Pam,Patterson,San Juan Capistrano,2014,white
Derek,Reeve,San Juan Capistrano,2014,white
Kerry,Ferguson,San Juan Capistrano,2014,white
Sergio,Farias,San Juan Capistrano,2016,hispanic
Brian,Maryott,San Juan Capistrano,2016,white
Troy,Bourne,San Juan Capistrano,2018,white
Derek,Reeve,San Juan Capistrano,2018,white
John,Taylor,San Juan Capistrano,2018,white
Howard,Hart,San Juan Capistrano,2020,white
John,Campbell,San Juan Capistrano,2022,white
Benny,Lee,San Leandro,2012,asian
Ursula,Reed,San Leandro,2012,white
Jim,Prola,San Leandro,2012,white
Deborah,Cox,San Leandro,2014,white
Lee,Thomas,San Leandro,2014,white
Corina,Lopez,San Leandro,2014,hispanic
Bryan,Azevedo,San Leandro,2016,white
Benny,Lee,San Leandro,2016,asian
Pete,Ballew,San Leandro,2016,white
Deborah,Cox,San Leandro,2018,white
Victor,"Aguilar, Jr.",San Leandro,2018,hispanic
Corina,Lopez,San Leandro,2018,hispanic
Bryan,Azevedo,San Leandro,2020,white
Fred,Simon,San Leandro,2020,hispanic
Pete,Ballew,San Leandro,2020,white
Celina,Reynes,San Leandro,2022,hispanic
Victor,Aguilar,San Leandro,2022,hispanic
Xouhoa,Bowen,San Leandro,2022,white
Michael,Gregory,SAN LEANDRO - RCV,2010,white
Diana,Souza,SAN LEANDRO - RCV,2010,white
Pauline,Cutter,SAN LEANDRO - RCV,2010,white
Andrew,Carter,SAN LUIS OBISPO,2010,white
Kathy,Smith,SAN LUIS OBISPO,2010,black
Dan,Carpenter,San Luis Obispo,2012,black
John,Ashbaugh,San Luis Obispo,2012,white
Carlyn,Christianson,San Luis Obispo,2014,white
Dan,Rivoire,San Luis Obispo,2014,white
Andrea,Pease,San Luis Obispo,2016,white
Aaron,Gomez,San Luis Obispo,2016,hispanic
Carlyn,Christianson,San Luis Obispo,2018,white
Erica,Stewart,San Luis Obispo,2018,white
Jan,Marx,San Luis Obispo,2020,white
Andrea,Pease,San Luis Obispo,2020,white
Michelle,Shoresman,San Luis Obispo,2022,white
Emily,Francis,San Luis Obispo,2022,white
Kristal,Jabara,SAN MARCOS,2010,white
Chris,Orlando,SAN MARCOS,2010,white
Sharon,Jenkins,San Marcos,2012,white
Rebecca,Jones,San Marcos,2012,black
Rebecca,Jones,San Marcos,2016,black
Sharon,Jenkins,San Marcos,2016,white
Maria,Nunez,San Marcos,2018,hispanic
Randy,Wallton,San Marcos,2018,white
Ed,Musgrove,San Marcos,2020,white
Sharon,Jenkins,San Marcos,2020,white
Maria,Nunez,San Marcos,2022,hispanic
Mike,Sannella,San Marcos,2022,white
Dennis,Kneier,San Marino,2011,white
Eugene,Sun,San Marino,2011,asian
Steve,Talt,San Marino,2015,white
Steven,Huang,San Marino,2015,asian
Steve,Talt,San Marino,2019,white
Steven,Huang,San Marino,2019,asian
Gretchen,Romey,San Marino,2022,white
Tony,Chou,San Marino,2022,asian
Calvin,Lo,San Marino,2022,asian
Susan,Jakubowski,San Marino Hills,2017,white
Gretchen,Romey,San Marino Hills,2017,white
Ken,Ude,San Marino Hills,2017,white
Maureen,Freschet,San Mateo,2011,white
Jack,Matthews,San Mateo,2011,white
David,Lim,San Mateo,2013,asian
Joe,Goethals,San Mateo,2013,white
Robert,Ross,San Mateo,2013,white
Diane,Papan,San Mateo,2015,white
Maureen,Freschet,San Mateo,2015,white
Rick,Bonilla,San Mateo,2015,hispanic
Rick,Bonilla,San Mateo,2017,hispanic
Joe,Goethals,San Mateo,2017,white
Eric,Rodriguez,San Mateo,2017,hispanic
Amourence,Lee,San Mateo,2020,asian
Diane,Papan,San Mateo,2020,white
Lisa,Nash,San Mateo,2022,white
Robert,"Newsom, Jr.",San Mateo,2022,white
Adam,Loraine,San Mateo,2022,white
Genoveva,Calloway,SAN PABLO,2010,white
Paul,Morris,SAN PABLO,2010,white
Kathy,Rothberg,San Pablo,2012,white
Rich,Kinney,San Pablo,2012,white
Cecilia,Valdez,San Pablo,2012,hispanic
Cecilia,Valdez,San Pablo,2016,hispanic
Rich,Kinney,San Pablo,2016,white
Arturo,Cruz,San Pablo,2016,hispanic
Elizabeth,Pabon-Alvarado,San Pablo,2018,hispanic
Rita,Xavier,San Pablo,2018,white
Patricia,Ponce,San Pablo,2020,hispanic
Arturo,Cruz,San Pablo,2020,hispanic
Abel,Pineda,San Pablo,2020,hispanic
Damon,Connolly,San Rafael,2011,white
Andrew,McCullough,San Rafael,2011,white
Maika,Gulati,San Rafael,2020,white
Rachel,Kertz,San Rafael,2020,white
Eli,Hill,San Rafael,2022,white
Maribeth,Bushey,San Rafael,2022,white
Kate,Colin,San Rafeal,2013,hispanic
Maribeth,Bushey Lang,San Rafeal,2013,white
Scott,Perkins,San Ramon,2011,white
Phil,O'Loane,San Ramon,2011,white
Harry,Sachs,San Ramon,2013,white
David,Hudson,San Ramon,2013,white
Philip,O'Loane,San Ramon,2016,white
Scott,Perkins,San Ramon,2016,white
David,Hudson,San Ramon,2018,white
Sabina,Zafar,San Ramon,2018,asian
Scott,Perkins,San Ramon,2020,white
Mark,Armstrong,San Ramon,2022,white
Marisol,Rubio,San Ramon,2022,hispanic
Jerry,Blackwelder,SAND CITY,2010,white
Craig,Hubler,SAND CITY,2010,white
Jerry,Blackwelder,Sand City,2014,white
Craig,Hubler,Sand City,2014,white
Jerry,Blackwelder,Sand City,2018,white
Elizabeth,Sofer,Sand City,2018,white
Kim,Cruz,Sand City,2020,hispanic
Gregory,Hawthorne,Sand City,2020,white
Jerry,Blackwelder,Sand City,2022,white
Elizabeth,Sofer,Sand City,2022,white
Rodney,Nielson,SANGER,2010,white
Eli,Ontiveros,SANGER,2010,hispanic
Joshua,Mitchell,SANGER,2010,white
Raul,Cantu Jr.,Sanger,2012,white
Tony,Pacheco,Sanger,2012,hispanic
Humberto,Garza,Sanger,2014,hispanic
Eli,Ontiveros,Sanger,2014,hispanic
Melissa,Hurtado,Sanger,2016,hispanic
Daniel,Martinez,Sanger,2016,hispanic
Humberto,Garza,Sanger,2018,hispanic
Eli,Ontiveros,Sanger,2018,hispanic
Esmerelda,Hurtado,Sanger,2020,hispanic
Daniel,Martinez,Sanger,2020,hispanic
Dolores,Melendez,Sanger,2022,hispanic
Michael,Montelongo,Sanger,2022,hispanic
Michele,Martinez,SANTA ANA,2010,hispanic
David,Benavides,SANTA ANA,2010,hispanic
Sal,Tinajero,SANTA ANA,2010,hispanic
Angelica,Amezcua,Santa Ana,2012,hispanic
Roman,Reyna,Santa Ana,2012,hispanic
Vincent,Sarmiento,Santa Ana,2012,hispanic
Michele,Martinez,Santa Ana,2014,hispanic
David,Benavides,Santa Ana,2014,hispanic
Sal,Tinajero,Santa Ana,2014,hispanic
Vicente,Sarmiento,Santa Ana,2016,hispanic
Jose,Solorio,Santa Ana,2016,hispanic
Juan,Villegas,Santa Ana,2016,hispanic
David,Penaloza,Santa Ana,2018,hispanic
Roman,Reyna,Santa Ana,2018,hispanic
Cecilia,Iglesias,Santa Ana,2018,hispanic
Phil,Bacerra,Santa Ana,2019,hispanic
Thai,Phan,Santa Ana,2020,asian
Jessie,Lopez,Santa Ana,2020,hispanic
Johnathan,Hernandez,Santa Ana,2020,hispanic
Nelida,Mendoza,Santa Ana,2020,hispanic
Benjamin,Vazquez,Santa Ana,2022,hispanic
Phil,Bacerra,Santa Ana,2022,hispanic
David,Penaloza,Santa Ana,2022,hispanic
Dale,Francisco,Santa Barbara,2011,white
Cathy,Murillo,Santa Barbara,2011,hispanic
Randy,Rowse,Santa Barbara,2011,white
Jason,Dominguez,Santa Barbara,2015,hispanic
Randy,Rowse,Santa Barbara,2015,white
Cathy,Murillo,Santa Barbara,2015,hispanic
Kristen,Sneddon,Santa Barbara,2017,white
Eric,Friedman,Santa Barbara,2017,white
Gregg,Hart,Santa Barbara,2017,white
Oscar,Gutierrez,Santa Barbara,2018,hispanic
Alejandra,Gutierrez,Santa Barbara,2019,hispanic
Mike,Jordan,Santa Barbara,2019,white
Kristen,Sneddon,Santa Barbara,2021,white
Eric,Friedman,Santa Barbara,2021,white
Meagan,Harmon,Santa Barbara,2021,white
Patrick,Kolstad,SANTA CLARA,2010,white
Patricia,Mahan,SANTA CLARA,2010,white
Debi,Davis,Santa Clara,2012,black
Jerry,Marsalli,Santa Clara,2012,white
Lisa,Gillmor,Santa Clara,2012,white
Teresa,O'Neill,Santa Clara,2012,white
Patrick,Kolstad,Santa Clara,2014,white
Dominic,Caserta,Santa Clara,2014,white
Debi,Davis,Santa Clara,2016,black
Patricia,Mahan,Santa Clara,2016,white
Kathy,Watanabe,Santa Clara,2016,asian
Teresa,O'Neill,Santa Clara,2016,white
Raj,Chahal,Santa Clara,2018,asian
Karen,Hardy,Santa Clara,2018,white
Kevin,Park,Santa Clara,2020,asian
Suds,Jain,Santa Clara,2020,asian
Anthony,Becker,Santa Clara,2020,white
Kathy,Watanabe,Santa Clara,2020,asian
Raj,Chahal,Santa Clara,2022,asian
Karen,Hardy,Santa Clara,2022,white
Frank,Ferry,SANTA CLARITA,2010,white
Marsha,McLean,SANTA CLARITA,2010,white
Laurene,Weste,SANTA CLARITA,2010,white
Timben,Boydston,Santa Clarita,2012,white
Bob,Kellar,Santa Clarita,2012,white
Laurene,Weste,Santa Clarita,2014,white
Marsha,McLean,Santa Clarita,2014,white
Dante,Acosta,Santa Clarita,2014,hispanic
Bob,Kellar,Santa Clarita,2016,white
Cameron,Smyth,Santa Clarita,2016,white
Marsha,McLean,Santa Clarita,2018,white
Bill,Miranda,Santa Clarita,2018,hispanic
Laurene,Weste,Santa Clarita,2018,white
Jason,Gibbs,Santa Clarita,2020,white
Cameron,Smyth,Santa Clarita,2020,white
Laurene,Weste,Santa Clarita,2022,white
Bill,Miranda,Santa Clarita,2022,hispanic
Marsha,McLean,Santa Clarita,2022,white
Hilary,Bryant,SANTA CRUZ,2010,white
Lynn,Robinson,SANTA CRUZ,2010,black
David,Terrazas,SANTA CRUZ,2010,hispanic
Cynthia,Mathews,Santa Cruz,2012,white
Micah,Posner,Santa Cruz,2012,white
Pamela,Comstock,Santa Cruz,2012,white
Don,Lane,Santa Cruz,2012,white
Cynthia,Chase,Santa Cruz,2014,white
David,Terrazas,Santa Cruz,2014,hispanic
Richelle,Noroyan,Santa Cruz,2014,white
Martine,Watkins,Santa Cruz,2016,white
Cynthia,Mathews,Santa Cruz,2016,white
Chris,Krohn,Santa Cruz,2016,white
Sandy,Brown,Santa Cruz,2016,black
Justin,Cummings,Santa Cruz,2018,white
Drew,Glover,Santa Cruz,2018,white
Donna,Meyers,Santa Cruz,2018,white
Sonja,Brunner,Santa Cruz,2020,white
Shebreh,Kalantari-Johnson,Santa Cruz,2020,white
Renee,Golder,Santa Cruz,2020,white
Katherine,Beiers,Santa Cruz,2020,white
Sandy,Brown,Santa Cruz,2020,black
Martine,Watkins,Santa Cruz,2020,white
Scott,Newsome,Santa Cruz,2022,white
Renée,Golder,Santa Cruz,2022,white
Bill,Rounds,Santa Fe Springs,2015,white
Joe,Zamorano,Santa Fe Springs,2015,hispanic
John,Mora,Santa Fe Springs,2018,hispanic
Annette,Rodriguez,Santa Fe Springs,2018,hispanic
Juanita,Trujillo,Santa Fe Springs,2018,hispanic
Jay,Sarno,Santa Fe Springs,2020,white
Joe,Zamora,Santa Fe Springs,2020,hispanic
Annette,Rodriguez,Santa Fe Springs,2022,hispanic
Juanita,Martin,Santa Fe Springs,2022,white
Bill,Rounds,Santa Fe Springs,2022,white
Richard,Moore,Santa Fee Springs,2013,white
John,Sarno,Santa Fee Springs,2013,white
Juanita,Trujillo,Santa Fee Springs,2013,hispanic
Jack,Boysen,SANTA MARIA,2010,white
Alice,Patino,SANTA MARIA,2010,hispanic
Terri,Zuniga,Santa Maria,2012,hispanic
Bob,Orach,Santa Maria,2012,white
Etta,Waterfield,Santa Maria,2014,white
Jack,Boysen,Santa Maria,2014,white
Mike,Cordero,Santa Maria,2016,hispanic
Michael,Moats,Santa Maria,2016,white
Gloria,Soto,Santa Maria,2018,hispanic
Etta,Waterfield,Santa Maria,2018,white
Carlos,Escobedo,Santa Maria,2020,hispanic
Mike,Cordero,Santa Maria,2020,hispanic
Gloria,Soto,Santa Maria,2022,hispanic
Maribel,Aguilera-Hernandez,Santa Maria,2022,hispanic
Bob,Holbrook,SANTA MONICA,2010,white
Kevin,McKeown,SANTA MONICA,2010,white
Pam,O'Connor,SANTA MONICA,2010,white
Gleam,Davis,SANTA MONICA,2010,black
Terry,O'Day,SANTA MONICA,2010,white
Ted,Winterer,Santa Monica,2012,white
Tony,Vazquez,Santa Monica,2012,hispanic
Terry,O'Day,Santa Monica,2012,white
Gleam,Davis,Santa Monica,2012,black
Kevin,McKeown,Santa Monica,2014,white
Sue,Himmelrich,Santa Monica,2014,white
Pam,O'Connor,Santa Monica,2014,white
Terry,O'Day,Santa Monica,2016,white
Tony,Vasquez,Santa Monica,2016,hispanic
Ted,Winterer,Santa Monica,2016,white
Gleam,Davis,Santa Monica,2016,black
Sue,Himmelrich,Santa Monica,2018,white
Kevin,McKeown,Santa Monica,2018,white
Greg,Morena,Santa Monica,2018,hispanic
Phil,Brock,Santa Monica,2020,white
Oscar,De La Torre,Santa Monica,2020,white
Christine,Parra,Santa Monica,2020,hispanic
Gleam,Davis,Santa Monica,2020,black
Kristin,McCowan,Santa Monica,2020,white
Caroline,Torosis,Santa Monica,2022,white
Jesse,Zwick,Santa Monica,2022,white
Lana,Negrete,Santa Monica,2022,hispanic
Richard,Cook,SANTA PAULA,2010,white
Ralph,Fernandez,SANTA PAULA,2010,hispanic
Robert,Gonzales,SANTA PAULA,2010,hispanic
Martin,Hernandez,Santa Paula,2012,hispanic
James,Tovias,Santa Paula,2012,hispanic
John,Procter,Santa Paula,2014,white
Ginger,Gherardi,Santa Paula,2014,white
Jenny,Crosswhite,Santa Paula,2014,white
Clint,Garman,Santa Paula,2016,white
Martin,Hernandez,Santa Paula,2016,hispanic
Richard,Araiza,Santa Paula,2018,hispanic
Jenny,Crosswhite,Santa Paula,2018,white
Carlos,Juarez,Santa Paula,2018,hispanic
Leslie,Cornejo,Santa Paula,2020,hispanic
Andy,Sobel,Santa Paula,2020,white
Pedro,Chavez,Santa Paula,2022,hispanic
Jenny,Crosswhite,Santa Paula,2022,white
Carlos,Juarez,Santa Paula,2022,hispanic
Scott,Bartley,SANTA ROSA,2010,white
Susan,Gorin,SANTA ROSA,2010,white
Jake,Ours,SANTA ROSA,2010,white
Ernesto,Olivares,Santa Rosa,2012,hispanic
Julie,Combs,Santa Rosa,2012,black
Erin,Carlstrom,Santa Rosa,2012,white
Gary,Wysocky,Santa Rosa,2012,white
Chris,Coursey,Santa Rosa,2014,white
John,Sawyer,Santa Rosa,2014,white
Tom,Schwedhelm,Santa Rosa,2014,white
Jack,Tibbets,Santa Rosa,2016,white
Julie,Combs,Santa Rosa,2016,black
Chris,Rogers,Santa Rosa,2016,white
Ernesto,Olivares,Santa Rosa,2016,hispanic
John,Sawyer,Santa Rosa,2018,white
Victoria,Fleming,Santa Rosa,2018,white
Tom,Schwedhelm,Santa Rosa,2018,white
Natalie,Rogers,Santa Rosa,2020,white
Eddie,Alvarez,Santa Rosa,2020,hispanic
Harrison,Tibbetts,Santa Rosa,2020,white
Chris,Rogers,Santa Rosa,2020,white
Mark,Stapp,Santa Rosa,2022,white
Dianna,Macdonald,Santa Rosa,2022,white
Victoria,Fleming,Santa Rosa,2022,white
Jeff,Okrepkie,Santa Rosa,2022,white
Rob,McNelis,SANTEE,2010,white
John,Minto,SANTEE,2010,white
John,Ryan,SANTEE,2010,white
Jack,Dale,Santee,2012,white
Ronn,Hall,Santee,2014,white
John,Minto,Santee,2014,white
Stephen,Houlahan,Santee,2016,white
Rob,McNelis,Santee,2018,white
Ronn,Hall,Santee,2018,white
Laura,Koval,Santee,2018,white
Dustin,Trotter,Santee,2020,white
Laura,Koval,Santee,2020,white
Jill,Hunter,SARATOGA,2010,white
Emily,Lo,SARATOGA,2010,asian
Chuck,Page,SARATOGA,2010,white
Howard,Miller,Saratoga,2012,white
Emily,Lo,Saratoga,2014,asian
Mary-Lynne,Bernarld,Saratoga,2014,white
Rishi,Kumar,Saratoga,2014,asian
Manny,Cappello,Saratoga,2016,white
Howard,Miller,Saratoga,2016,white
Mary-Lynne,Bernald,Saratoga,2018,white
Rishi,Kumar,Saratoga,2018,asian
Yan,Zhao,Saratoga,2018,asian
Kookie,Fitzsimmons,Saratoga,2020,white
Tina,Walia,Saratoga,2020,white
Yan,Zhao,Saratoga,2022,asian
Belal,Aftab,Saratoga,2022,asian
Chuck,Page,Saratoga,2022,white
Herb,Weiner,SAUSALITO,2010,white
Jill,Hoffman,Sausalito,2014,white
Herb,Weiner,Sausalito,2014,white
Joan,Cox,Sausalito,2016,white
Ray,Withy,Sausalito,2016,white
Joe,Burns,Sausalito,2016,white
Susan,Cleveland-Knowles,Sausalito,2017,white
S.,Cleveland-Knowles,Sausalito,2018,white
Jill,Hoffman,Sausalito,2018,white
Melissa,Blaustein,Sausalito,2020,white
Janelle,Kellman,Sausalito,2020,white
Ian,Sobieski,Sausalito,2020,white
Jill,Hoffman,Sausalito,2022,white
Joan,Cox,Sausalito,2022,white
Jim,Reed,Scotts Valley,2014,white
Stephany,Aguilar,Scotts Valley,2014,hispanic
Donna,Lind,Scotts Valley,2016,white
Randy,Johnson,Scotts Valley,2016,black
Jack,Dilles,Scotts Valley,2016,white
Jim,Reed,Scotts Valley,2018,white
Derek,Timm,Scotts Valley,2018,white
Jack,Dilles,Scotts Valley,2020,white
Randy,Johnson,Scotts Valley,2020,black
Donna,Lind,Scotts Valley,2020,white
