firstname,lastname,city,year,gender
Bonnie,Pannell,Sacramento,2012,female
Angelique,Ashby,Sacramento,2014,female
Jay,Schenirer,Sacramento,2014,male
Rick,Jennings,Sacramento,2014,male
Jeff,Harris,Sacramento,2014,male
Larry,Carr,Sacramento,2014,male
Eric,Guerra,Sacramento,2015,male
Bruce,Pomer,Sacramento,2015,male
Allen,Warren,Sacramento,2016,male
Steve,Hansen,Sacramento,2016,male
Eric,Guerra,Sacramento,2016,male
Larry,Carr,Sacramento,2016,male
Angelique,Ashby,Sacramento,2018,female
Jeff,Harris,Sacramento,2018,male
Jay,Schenirer,Sacramento,2018,male
Rick,"Jennings, II",Sacramento,2018,male
Katie,Valenzuela,Sacramento,2020,female
Sean,Lolee,Sacramento,2020,female
Mai,Vang,Sacramento,2020,female
Eric,Guerra,Sacramento,2020,male
Rick,Jennings II,Sacramento,2022,male
Lisa,Kaplan,Sacramento,2022,female
Karina,Talamantes,Sacramento,2022,female
Caity,Maple,Sacramento,2022,female
Stephen,McShane,Salina,2018,male
Christie,Cromeenes,Salina,2018,female
Tony,Barrera,SALINAS,2010,male
Steve,McShane,SALINAS,2010,male
Kimbley,Craig,SALINAS,2010,female
Jose,Castaneda,Salinas,2012,male
Gloria,De La Rosa,Salinas,2012,female
Jyl,Lutes,Salinas,2012,female
Tony,Barrera,Salinas,2014,male
Steve,McShane,Salinas,2014,male
Kimbley,Craig,Salinas,2014,female
Scott,Davis,Salinas,2016,male
Gloria,De La Rosa,Salinas,2016,female
John,Villegas,Salinas,2016,male
Tony,Barreras,Salinas,2018,male
Carla,González,Salinas,2020,female
Orlando,Osorino,Salinas,2020,male
Anthony,Rocha,Salinas,2020,male
Tony,Barrera,Salinas,2022,male
Steve,McShane,Salinas,2022,male
Jose,Sandoval,Salinas,2022,male
Lori,Lopin,San Anselmo,2011,female
Ford,Greene,San Anselmo,2011,male
Kay,Coleman,San Anselmo,2013,female
Tom,McInerney,San Anselmo,2013,male
John,Wright,San Anselmo,2013,male
Doug,Kelly,San Anselmo,2013,male
Matt,Brown,San Anselmo,2015,male
Ford,Greene,San Anselmo,2015,male
Brian,Colbert,San Anselmo,2017,female
Kay,Coleman,San Anselmo,2017,female
John,Wright,San Anselmo,2017,male
Steve,Burdo,San Anselmo,2019,male
Ford,Greene,San Anselmo,2019,male
Eileen,Burke,San Anselmo,2020,female
Brian,Colbert,San Anselmo,2020,female
Alexis,Fineman,San Anselmo,2020,female
Steve,Burdo,San Anselmo,2022,male
Tarrell,Kullaway,San Anselmo,2022,female
Robert,Jenkins,San Bernardino,2011,male
Virginia,Marquez,San Bernardino,2013,female
Benito,Barrios,San Bernardino,2013,male
Fred,Shorett,San Bernardino,2013,male
Jim,Mulvihill,San Bernardino,2013,male
Roxanne,Williams,San Bernardino,2013,female
John,Valdivia,San Bernardino,2015,male
Henry,Nickel,San Bernardino,2015,male
Bessine,Littlefield-Richard,San Bernardino,2015,female
Jim,Mulvihill,San Bernardino,2015,male
Bessine,Littlefield-Richard,San Bernardino,2016,female
Jim,Mulvihill,San Bernardino,2016,male
Theodore,Sanchez,San Bernardino,2018,male
Sandra,Ibarra,San Bernardino,2018,female
Fred,Shorett,San Bernardino,2018,male
Juan,Figueroa,San Bernardino,2019,female
Kimberly,Calvin,San Bernardino,2020,female
Ben,Reynoso,San Bernardino,2020,male
Damon,Alexander,San Bernardino,2020,male
Juan,Figueroa,San Bernardino,2020,female
Theodore,Sanchez,San Bernardino,2022,male
Sandra,Ibarra,San Bernardino,2022,female
Fred,Shorett,San Bernardino,2022,male
Rico,Medina,San Bruno,2013,male
Ken,Ibarra,San Bruno,2013,male
Marty,Medina,San Bruno,2015,male
Irene,O'Connell,San Bruno,2015,female
Laura,Davis,San Bruno,2017,female
Michael,Salazar,San Bruno,2017,male
Linda,Mason,San Bruno,2019,female
Marty,Medina,San Bruno,2019,male
Tom,Hamilton,San Bruno,2020,male
Michael,Salazar,San Bruno,2020,male
Sandy,Alvarez,San Bruno,2022,female
Marty,Medina,San Bruno,2022,male
Matt,Lavere,San Buenaventuara,2016,male
Christy,Weir,San Buenaventuara,2016,female
Cheryl,Heitmann,San Buenaventuara,2016,female
Cheryl,Heitmann,San Buenaventura,2011,female
Carl,Morehouse,San Buenaventura,2011,male
Christy,Weir,San Buenaventura,2011,female
Erik,Nasarenko,San Buenaventura,2013,male
Mike,Tracy,San Buenaventura,2013,male
Neal,Andrews,San Buenaventura,2013,male
Jim,Monahan,San Buenaventura,2013,male
Sofia,Rubalcava,San Buenaventura,2018,female
Erik,Nasarenko,San Buenaventura,2018,male
Jim,Friedman,San Buenaventura,2018,male
Lorrie,Brown,San Buenaventura,2018,female
Doug,Halter,San Buenaventura,2020,male
Mike,Johnson,San Buenaventura,2020,male
Joe,Schroeder,San Buenaventura,2020,male
Liz,Campos,San Buenaventura,2022,female
Jeannette,Sanchez-Palacios,San Buenaventura,2022,female
Bill,McReynolds,San Buenaventura,2022,male
Jim,Duran,San Buenaventura,2022,male
Mark,Olbert,San Carlos,2011,male
Ron,Collins,San Carlos,2011,male
Bob,Grassilli,San Carlos,2013,male
Cameron,Johnson,San Carlos,2013,male
Matt,Grocott,San Carlos,2013,male
Ron,Collins,San Carlos,2015,male
Mark,Olbert,San Carlos,2015,male
Sara,McDowell,San Carlos,2018,female
Laura,Parmer-Lohan,San Carlos,2018,female
Adam,Rak,San Carlos,2018,male
John,Dugan,San Carlos,2020,male
Ron,Collins,San Carlos,2020,male
Sara,McDowell,San Carlos,2022,female
Adam,Rak,San Carlos,2022,male
Pranita,Venkatesh,San Carlos,2022,female
Tim,Brown,SAN CLEMENTE,2010,male
Lori,Donchak,SAN CLEMENTE,2010,female
Jim,Evert,SAN CLEMENTE,2010,male
Robert,Baker,San Clemente,2012,male
Tim,Brown,San Clemente,2014,male
Lori,Donchak,San Clemente,2014,female
Kathy,Ward,San Clemente,2014,female
Chris,Hamm,San Clemente,2016,male
Steven,Swartz,San Clemente,2016,male
Dan,Bane,San Clemente,2018,female
Laura,Ferguson,San Clemente,2018,female
Kathy,Ward,San Clemente,2018,female
Gene,James,San Clemente,2019,female
Chris,Duncan,San Clemente,2020,male
Steven,Knoblock,San Clemente,2020,male
Gene,James,San Clemente,2020,female
Victor,Cabral,San Clemente,2022,male
Mark,Enmeier,San Clemente,2022,male
Steven,Knoblock,San Clemente,2022,male
Kevin,Faulconer,SAN DIEGO,2010,male
Tony,Young,SAN DIEGO,2010,male
Lorie,Zapf,SAN DIEGO,2010,female
David,Alvarez,SAN DIEGO,2010,male
Ray,Ellis,San Diego,2012,male
Mark,Kersey,San Diego,2012,male
Scott,Sherman,San Diego,2012,male
Todd,Gloria,San Diego,2012,male
Marti,Emerald,San Diego,2012,male
Sherri,Lightner,San Diego,2012,female
Myrtle,Cole,San Diego,2013,female
Dwayne,Crenshaw,San Diego,2013,male
Lorie,Zapf,San Diego,2014,female
Myrtle,Cole,San Diego,2014,female
David,Alvarez,San Diego,2014,male
Chirs,Cate,San Diego,2014,male
Chris,Ward,San Diego,2016,male
Mark,Kersey,San Diego,2016,male
Scott,Sherman,San Diego,2016,male
Barbara,Bry,San Diego,2016,female
Georgette,Gomez,San Diego,2016,female
Lorie,Zapf,San Diego,2018,female
Monica,Montgomery,San Diego,2018,female
Chris,Cate,San Diego,2018,male
Vivian,Moreno,San Diego,2018,female
Jennifer,Campbell,San Diego,2018,female
Joe,Lacava,San Diego,2020,male
Stephen,Whitburn,San Diego,2020,male
Marni,Wilpert,San Diego,2020,female
Sean,Elo-Rivera,San Diego,2020,female
Raul,Campillo,San Diego,2020,male
Jennifer,Campbell,San Diego,2022,female
Monica,Steppe,San Diego,2022,female
Kent,Lee,San Diego,2022,male
Vivian,Moreno,San Diego,2022,female
Emmett,Badar,San Dimas,2011,male
John,Ebiner,San Dimas,2011,male
Jeff,Templeman,San Dimas,2013,male
Denis,Bertone,San Dimas,2013,male
Emmett,Badar,San Dimas,2015,male
John,Ebiner,San Dimas,2015,male
Denis,Bertone,San Dimas,2017,male
Ryan,Vienna,San Dimas,2017,female
Eric,Weber,San Dimas,2020,male
John,Ebiner,San Dimas,2020,male
Eric,Nakano,San Dimas,2022,male
Ryan,Vienna,San Dimas,2022,female
Antonio,Lopez,San Fernando,2011,male
Brenda,Esqueda,San Fernando,2011,female
Sylvia,Ballin,San Fernando,2011,female
Robert,Gonzales,San Fernando,2012,male
Joel,Fajardo,San Fernando,2012,male
Jaime,Soto,San Fernando,2015,male
Sylvia,Ballin,San Fernando,2015,female
Antonio,Lopez,San Fernando,2015,male
Joel,Fajardo,San Fernando,2017,male
Robert,Gonzales,San Fernando,2017,male
Sylvia,Ballin,San Fernando,2018,female
Antonio,Lopez,San Fernando,2018,male
Hector,Pacheco,San Fernando,2018,male
Cindy,Montañez,San Fernando,2020,female
Celeste,Rodriguez,San Fernando,2020,female
Mary,Mendoza,San Fernando,2020,female
Joel,Fajardo,San Fernando,2022,male
Mary,Mendoza,San Fernando,2022,female
Mary,Solorio,San Fernando,2022,female
John,Harrington,San Gabriel,2011,male
Juli,Constanzo,San Gabriel,2011,female
Jason,Pu,San Gabriel,2013,male
Chin,Liao,San Gabriel,2013,male
Kevin,Sawkins,San Gabriel,2013,male
John,Harrington,San Gabriel,2015,male
Juli,Costanzo,San Gabriel,2015,female
Chin,Liao,San Gabriel,2017,male
Denise,Menchaca,San Gabriel,2017,female
Jason,Pu,San Gabriel,2017,male
Tony,Ding,San Gabriel,2020,male
John,Harrington,San Gabriel,2020,male
John,Wu,San Gabriel,2022,male
Denise,Menchaca,San Gabriel,2022,female
Eric,Chan,San Gabriel,2022,male
Andrew,Kotyuk,San Jaciinto,2016,male
Crystal,Ruiz,San Jaciinto,2016,female
Russ,Utz,San Jaciinto,2016,male
Alonso,Ledezma,SAN JACINTO,2010,male
Scott,Miller,SAN JACINTO,2010,male
Andrew,Kotyuk,SAN JACINTO,2010,male
Mark,Bartel,SAN JACINTO,2010,male
Crystal,Ruiz,San Jacinto,2012,female
Mark,Bartel,San Jacinto,2012,male
Andrew,Kotyuk,San Jacinto,2012,male
Scott,Miller,San Jacinto,2014,male
Alonso,Ledezma,San Jacinto,2014,male
Alonso,Ledezma,San Jacinto,2018,male
Joel,Lopez,San Jacinto,2018,male
Phil,Ayala,San Jacinto,2020,male
Brian,Hawkins,San Jacinto,2020,female
Crystal,Ruiz,San Jacinto,2020,female
Valerie,Vandever,San Jacinto,2022,female
Alonso,Ledezma,San Jacinto,2022,male
Mary,Modesto-Reynaga,SAN JOAQUIN,2010,female
Betty,Vallejo,SAN JOAQUIN,2010,female
Jose,Ornelas,San Joaquin,2014,male
Betty,Vallejo,San Joaquin,2014,female
Abel,Lua,San Joaquin,2016,male
Amarpeet,Dhaliwal,San Joaquin,2016,male
Julia,Hernandez,San Joaquin,2016,female
Adam,Flores,San Joaquin,2018,male
Jose,Ornelas,San Joaquin,2018,male
Maria,Covarrubia,San Joaquin,2020,female
Julia,Hernandez,San Joaquin,2020,female
Abel,Lua,San Joaquin,2020,male
Pete,Constant,SAN JOSE,2010,male
Sam,Liccardo,SAN JOSE,2010,male
Xavier,Campos,SAN JOSE,2010,male
Madison,Nguyen,SAN JOSE,2010,male
Donald,Rocha,SAN JOSE,2010,male
Johnny,Khamis,San Jose,2012,male
Rose,Herrera,San Jose,2012,female
Ash,Kalra,San Jose,2012,male
Kansen,Chu,San Jose,2012,male
Pierluigi,Oliverio,San Jose,2012,male
Magdalena,Carrasco,San Jose,2014,female
Donald,Rocha,San Jose,2014,male
Charles,Jones,San Jose,2014,male
Raul,Peralez,San Jose,2014,male
Tam,Nguyen,San Jose,2014,male
Manh,Nguyen,San Jose,2015,male
Johnny,Khamis,San Jose,2016,male
Lan,Diep,San Jose,2016,female
Sergio,Jimenez,San Jose,2016,male
Devora,Davis,San Jose,2016,female
Sylvia,Arenas,San Jose,2016,female
Charles,Jones,San Jose,2018,male
Raul,Peralez,San Jose,2018,male
Magdalena,Carrasco,San Jose,2018,female
Maya,Esparza,San Jose,2018,female
Pam,Foley,San Jose,2018,female
David,Cohen,San Jose,2020,male
Matt,Mahan,San Jose,2020,male
Sergio,Jimenez,San Jose,2020,male
Sylvia,Arenas,San Jose,2020,female
Devora,Davis,San Jose,2020,female
Rosemary,Kamei,San Jose,2022,female
Pamela,Foley,San Jose,2022,female
Omar,Torres,San Jose,2022,male
Peter,Ortiz,San Jose,2022,male
Bien,Doan,San Jose,2022,male
Tony,Boch,SAN JUAN BAUTISTA,2010,male
Jolene,Cosio,SAN JUAN BAUTISTA,2010,female
Andy,Moore,SAN JUAN BAUTISTA,2010,male
Robert,Lund,San Juan Bautista,2012,male
Rick,Edge,San Juan Bautista,2012,male
Jim,West,San Juan Bautista,2014,male
Chris,Martorana,San Juan Bautista,2014,male
Tony,Boch,San Juan Bautista,2014,male
John,Freeman,San Juan Bautista,2016,male
Dan,De Vries,San Juan Bautista,2016,female
Mary,Edge,San Juan Bautista,2018,female
Cesar,Flores,San Juan Bautista,2018,male
Leslie,Jordan,San Juan Bautista,2018,female
Jackie,Morris-Lopez,San Juan Bautista,2022,female
Leslie,Jordan,San Juan Bautista,2022,female
Edwin,Sabathia,San Juan Bautista,2022,male
Scott,Freels,San Juan Bautistia,2020,male
John,Freeman,San Juan Bautistia,2020,male
Larry,Kramer,SAN JUAN CAPISTRANO,2010,male
Derek,Reeve,SAN JUAN CAPISTRANO,2010,male
John,Taylor,SAN JUAN CAPISTRANO,2010,male
Roy,Byrnes,San Juan Capistrano,2012,male
Sam,Allevato,San Juan Capistrano,2012,male
Pam,Patterson,San Juan Capistrano,2014,female
Derek,Reeve,San Juan Capistrano,2014,male
Kerry,Ferguson,San Juan Capistrano,2014,male
Sergio,Farias,San Juan Capistrano,2016,male
Brian,Maryott,San Juan Capistrano,2016,female
Troy,Bourne,San Juan Capistrano,2018,male
Derek,Reeve,San Juan Capistrano,2018,male
John,Taylor,San Juan Capistrano,2018,male
Howard,Hart,San Juan Capistrano,2020,male
John,Campbell,San Juan Capistrano,2022,male
Benny,Lee,San Leandro,2012,male
Ursula,Reed,San Leandro,2012,female
Jim,Prola,San Leandro,2012,male
Deborah,Cox,San Leandro,2014,female
Lee,Thomas,San Leandro,2014,female
Corina,Lopez,San Leandro,2014,female
Bryan,Azevedo,San Leandro,2016,female
Benny,Lee,San Leandro,2016,male
Pete,Ballew,San Leandro,2016,male
Deborah,Cox,San Leandro,2018,female
Victor,"Aguilar, Jr.",San Leandro,2018,male
Corina,Lopez,San Leandro,2018,female
Bryan,Azevedo,San Leandro,2020,female
Fred,Simon,San Leandro,2020,male
Pete,Ballew,San Leandro,2020,male
Celina,Reynes,San Leandro,2022,female
Victor,Aguilar,San Leandro,2022,male
Xouhoa,Bowen,San Leandro,2022,female
Michael,Gregory,SAN LEANDRO - RCV,2010,male
Diana,Souza,SAN LEANDRO - RCV,2010,female
Pauline,Cutter,SAN LEANDRO - RCV,2010,female
Andrew,Carter,SAN LUIS OBISPO,2010,male
Kathy,Smith,SAN LUIS OBISPO,2010,female
Dan,Carpenter,San Luis Obispo,2012,female
John,Ashbaugh,San Luis Obispo,2012,male
Carlyn,Christianson,San Luis Obispo,2014,female
Dan,Rivoire,San Luis Obispo,2014,female
Andrea,Pease,San Luis Obispo,2016,female
Aaron,Gomez,San Luis Obispo,2016,male
Carlyn,Christianson,San Luis Obispo,2018,female
Erica,Stewart,San Luis Obispo,2018,female
Jan,Marx,San Luis Obispo,2020,female
Andrea,Pease,San Luis Obispo,2020,female
Michelle,Shoresman,San Luis Obispo,2022,female
Emily,Francis,San Luis Obispo,2022,female
Kristal,Jabara,SAN MARCOS,2010,female
Chris,Orlando,SAN MARCOS,2010,male
Sharon,Jenkins,San Marcos,2012,male
Rebecca,Jones,San Marcos,2012,female
Rebecca,Jones,San Marcos,2016,female
Sharon,Jenkins,San Marcos,2016,male
Maria,Nunez,San Marcos,2018,female
Randy,Wallton,San Marcos,2018,male
Ed,Musgrove,San Marcos,2020,male
Sharon,Jenkins,San Marcos,2020,male
Maria,Nunez,San Marcos,2022,female
Mike,Sannella,San Marcos,2022,male
Dennis,Kneier,San Marino,2011,male
Eugene,Sun,San Marino,2011,male
Steve,Talt,San Marino,2015,male
Steven,Huang,San Marino,2015,male
Steve,Talt,San Marino,2019,male
Steven,Huang,San Marino,2019,male
Gretchen,Romey,San Marino,2022,female
Tony,Chou,San Marino,2022,male
Calvin,Lo,San Marino,2022,male
Susan,Jakubowski,San Marino Hills,2017,female
Gretchen,Romey,San Marino Hills,2017,female
Ken,Ude,San Marino Hills,2017,male
Maureen,Freschet,San Mateo,2011,female
Jack,Matthews,San Mateo,2011,male
David,Lim,San Mateo,2013,male
Joe,Goethals,San Mateo,2013,male
Robert,Ross,San Mateo,2013,male
Diane,Papan,San Mateo,2015,female
Maureen,Freschet,San Mateo,2015,female
Rick,Bonilla,San Mateo,2015,male
Rick,Bonilla,San Mateo,2017,male
Joe,Goethals,San Mateo,2017,male
Eric,Rodriguez,San Mateo,2017,male
Amourence,Lee,San Mateo,2020,female
Diane,Papan,San Mateo,2020,female
Lisa,Nash,San Mateo,2022,female
Robert,"Newsom, Jr.",San Mateo,2022,male
Adam,Loraine,San Mateo,2022,male
Genoveva,Calloway,SAN PABLO,2010,female
Paul,Morris,SAN PABLO,2010,male
Kathy,Rothberg,San Pablo,2012,female
Rich,Kinney,San Pablo,2012,male
Cecilia,Valdez,San Pablo,2012,female
Cecilia,Valdez,San Pablo,2016,female
Rich,Kinney,San Pablo,2016,male
Arturo,Cruz,San Pablo,2016,male
Elizabeth,Pabon-Alvarado,San Pablo,2018,female
Rita,Xavier,San Pablo,2018,female
Patricia,Ponce,San Pablo,2020,female
Arturo,Cruz,San Pablo,2020,male
Abel,Pineda,San Pablo,2020,male
Damon,Connolly,San Rafael,2011,male
Andrew,McCullough,San Rafael,2011,male
Maika,Gulati,San Rafael,2020,female
Rachel,Kertz,San Rafael,2020,female
Eli,Hill,San Rafael,2022,male
Maribeth,Bushey,San Rafael,2022,female
Kate,Colin,San Rafeal,2013,female
Maribeth,Bushey Lang,San Rafeal,2013,female
Scott,Perkins,San Ramon,2011,male
Phil,O'Loane,San Ramon,2011,male
Harry,Sachs,San Ramon,2013,male
David,Hudson,San Ramon,2013,male
Philip,O'Loane,San Ramon,2016,male
Scott,Perkins,San Ramon,2016,male
David,Hudson,San Ramon,2018,male
Sabina,Zafar,San Ramon,2018,female
Scott,Perkins,San Ramon,2020,male
Mark,Armstrong,San Ramon,2022,male
Marisol,Rubio,San Ramon,2022,female
Jerry,Blackwelder,SAND CITY,2010,male
Craig,Hubler,SAND CITY,2010,male
Jerry,Blackwelder,Sand City,2014,male
Craig,Hubler,Sand City,2014,male
Jerry,Blackwelder,Sand City,2018,male
Elizabeth,Sofer,Sand City,2018,female
Kim,Cruz,Sand City,2020,female
Gregory,Hawthorne,Sand City,2020,male
Jerry,Blackwelder,Sand City,2022,male
Elizabeth,Sofer,Sand City,2022,female
Rodney,Nielson,SANGER,2010,male
Eli,Ontiveros,SANGER,2010,male
Joshua,Mitchell,SANGER,2010,male
Raul,Cantu Jr.,Sanger,2012,male
Tony,Pacheco,Sanger,2012,male
Humberto,Garza,Sanger,2014,male
Eli,Ontiveros,Sanger,2014,male
Melissa,Hurtado,Sanger,2016,female
Daniel,Martinez,Sanger,2016,male
Humberto,Garza,Sanger,2018,male
Eli,Ontiveros,Sanger,2018,male
Esmerelda,Hurtado,Sanger,2020,female
Daniel,Martinez,Sanger,2020,male
Dolores,Melendez,Sanger,2022,female
Michael,Montelongo,Sanger,2022,male
Michele,Martinez,SANTA ANA,2010,female
David,Benavides,SANTA ANA,2010,male
Sal,Tinajero,SANTA ANA,2010,male
Angelica,Amezcua,Santa Ana,2012,female
Roman,Reyna,Santa Ana,2012,female
Vincent,Sarmiento,Santa Ana,2012,male
Michele,Martinez,Santa Ana,2014,female
David,Benavides,Santa Ana,2014,male
Sal,Tinajero,Santa Ana,2014,male
Vicente,Sarmiento,Santa Ana,2016,male
Jose,Solorio,Santa Ana,2016,male
Juan,Villegas,Santa Ana,2016,female
David,Penaloza,Santa Ana,2018,male
Roman,Reyna,Santa Ana,2018,female
Cecilia,Iglesias,Santa Ana,2018,female
Phil,Bacerra,Santa Ana,2019,male
Thai,Phan,Santa Ana,2020,female
Jessie,Lopez,Santa Ana,2020,female
Johnathan,Hernandez,Santa Ana,2020,male
Nelida,Mendoza,Santa Ana,2020,female
Benjamin,Vazquez,Santa Ana,2022,male
Phil,Bacerra,Santa Ana,2022,male
David,Penaloza,Santa Ana,2022,male
Dale,Francisco,Santa Barbara,2011,male
Cathy,Murillo,Santa Barbara,2011,female
Randy,Rowse,Santa Barbara,2011,male
Jason,Dominguez,Santa Barbara,2015,male
Randy,Rowse,Santa Barbara,2015,male
Cathy,Murillo,Santa Barbara,2015,female
Kristen,Sneddon,Santa Barbara,2017,female
Eric,Friedman,Santa Barbara,2017,male
Gregg,Hart,Santa Barbara,2017,male
Oscar,Gutierrez,Santa Barbara,2018,male
Alejandra,Gutierrez,Santa Barbara,2019,female
Mike,Jordan,Santa Barbara,2019,male
Kristen,Sneddon,Santa Barbara,2021,female
Eric,Friedman,Santa Barbara,2021,male
Meagan,Harmon,Santa Barbara,2021,female
Patrick,Kolstad,SANTA CLARA,2010,male
Patricia,Mahan,SANTA CLARA,2010,female
Debi,Davis,Santa Clara,2012,female
Jerry,Marsalli,Santa Clara,2012,male
Lisa,Gillmor,Santa Clara,2012,female
Teresa,O'Neill,Santa Clara,2012,female
Patrick,Kolstad,Santa Clara,2014,male
Dominic,Caserta,Santa Clara,2014,male
Debi,Davis,Santa Clara,2016,female
Patricia,Mahan,Santa Clara,2016,female
Kathy,Watanabe,Santa Clara,2016,female
Teresa,O'Neill,Santa Clara,2016,female
Raj,Chahal,Santa Clara,2018,male
Karen,Hardy,Santa Clara,2018,female
Kevin,Park,Santa Clara,2020,male
Suds,Jain,Santa Clara,2020,male
Anthony,Becker,Santa Clara,2020,male
Kathy,Watanabe,Santa Clara,2020,female
Raj,Chahal,Santa Clara,2022,male
Karen,Hardy,Santa Clara,2022,female
Frank,Ferry,SANTA CLARITA,2010,male
Marsha,McLean,SANTA CLARITA,2010,female
Laurene,Weste,SANTA CLARITA,2010,female
Timben,Boydston,Santa Clarita,2012,male
Bob,Kellar,Santa Clarita,2012,male
Laurene,Weste,Santa Clarita,2014,female
Marsha,McLean,Santa Clarita,2014,female
Dante,Acosta,Santa Clarita,2014,male
Bob,Kellar,Santa Clarita,2016,male
Cameron,Smyth,Santa Clarita,2016,male
Marsha,McLean,Santa Clarita,2018,female
Bill,Miranda,Santa Clarita,2018,male
Laurene,Weste,Santa Clarita,2018,female
Jason,Gibbs,Santa Clarita,2020,male
Cameron,Smyth,Santa Clarita,2020,male
Laurene,Weste,Santa Clarita,2022,female
Bill,Miranda,Santa Clarita,2022,male
Marsha,McLean,Santa Clarita,2022,female
Hilary,Bryant,SANTA CRUZ,2010,female
Lynn,Robinson,SANTA CRUZ,2010,female
David,Terrazas,SANTA CRUZ,2010,male
Cynthia,Mathews,Santa Cruz,2012,female
Micah,Posner,Santa Cruz,2012,female
Pamela,Comstock,Santa Cruz,2012,female
Don,Lane,Santa Cruz,2012,male
Cynthia,Chase,Santa Cruz,2014,female
David,Terrazas,Santa Cruz,2014,male
Richelle,Noroyan,Santa Cruz,2014,female
Martine,Watkins,Santa Cruz,2016,female
Cynthia,Mathews,Santa Cruz,2016,female
Chris,Krohn,Santa Cruz,2016,male
Sandy,Brown,Santa Cruz,2016,female
Justin,Cummings,Santa Cruz,2018,male
Drew,Glover,Santa Cruz,2018,male
Donna,Meyers,Santa Cruz,2018,female
Sonja,Brunner,Santa Cruz,2020,female
Shebreh,Kalantari-Johnson,Santa Cruz,2020,female
Renee,Golder,Santa Cruz,2020,female
Katherine,Beiers,Santa Cruz,2020,female
Sandy,Brown,Santa Cruz,2020,female
Martine,Watkins,Santa Cruz,2020,female
Scott,Newsome,Santa Cruz,2022,male
Renée,Golder,Santa Cruz,2022,female
Bill,Rounds,Santa Fe Springs,2015,male
Joe,Zamorano,Santa Fe Springs,2015,male
John,Mora,Santa Fe Springs,2018,male
Annette,Rodriguez,Santa Fe Springs,2018,female
Juanita,Trujillo,Santa Fe Springs,2018,female
Jay,Sarno,Santa Fe Springs,2020,male
Joe,Zamora,Santa Fe Springs,2020,male
Annette,Rodriguez,Santa Fe Springs,2022,female
Juanita,Martin,Santa Fe Springs,2022,female
Bill,Rounds,Santa Fe Springs,2022,male
Richard,Moore,Santa Fee Springs,2013,male
John,Sarno,Santa Fee Springs,2013,male
Juanita,Trujillo,Santa Fee Springs,2013,female
Jack,Boysen,SANTA MARIA,2010,male
Alice,Patino,SANTA MARIA,2010,female
Terri,Zuniga,Santa Maria,2012,female
Bob,Orach,Santa Maria,2012,male
Etta,Waterfield,Santa Maria,2014,female
Jack,Boysen,Santa Maria,2014,male
Mike,Cordero,Santa Maria,2016,male
Michael,Moats,Santa Maria,2016,male
Gloria,Soto,Santa Maria,2018,female
Etta,Waterfield,Santa Maria,2018,female
Carlos,Escobedo,Santa Maria,2020,male
Mike,Cordero,Santa Maria,2020,male
Gloria,Soto,Santa Maria,2022,female
Maribel,Aguilera-Hernandez,Santa Maria,2022,female
Bob,Holbrook,SANTA MONICA,2010,male
Kevin,McKeown,SANTA MONICA,2010,male
Pam,O'Connor,SANTA MONICA,2010,female
Gleam,Davis,SANTA MONICA,2010,female
Terry,O'Day,SANTA MONICA,2010,male
Ted,Winterer,Santa Monica,2012,male
Tony,Vazquez,Santa Monica,2012,male
Terry,O'Day,Santa Monica,2012,male
Gleam,Davis,Santa Monica,2012,female
Kevin,McKeown,Santa Monica,2014,male
Sue,Himmelrich,Santa Monica,2014,female
Pam,O'Connor,Santa Monica,2014,female
Terry,O'Day,Santa Monica,2016,male
Tony,Vasquez,Santa Monica,2016,male
Ted,Winterer,Santa Monica,2016,male
Gleam,Davis,Santa Monica,2016,female
Sue,Himmelrich,Santa Monica,2018,female
Kevin,McKeown,Santa Monica,2018,male
Greg,Morena,Santa Monica,2018,male
Phil,Brock,Santa Monica,2020,male
Oscar,De La Torre,Santa Monica,2020,male
Christine,Parra,Santa Monica,2020,female
Gleam,Davis,Santa Monica,2020,female
Kristin,McCowan,Santa Monica,2020,female
Caroline,Torosis,Santa Monica,2022,female
Jesse,Zwick,Santa Monica,2022,male
Lana,Negrete,Santa Monica,2022,female
Richard,Cook,SANTA PAULA,2010,male
Ralph,Fernandez,SANTA PAULA,2010,male
Robert,Gonzales,SANTA PAULA,2010,male
Martin,Hernandez,Santa Paula,2012,male
James,Tovias,Santa Paula,2012,male
John,Procter,Santa Paula,2014,male
Ginger,Gherardi,Santa Paula,2014,female
Jenny,Crosswhite,Santa Paula,2014,female
Clint,Garman,Santa Paula,2016,male
Martin,Hernandez,Santa Paula,2016,male
Richard,Araiza,Santa Paula,2018,male
Jenny,Crosswhite,Santa Paula,2018,female
Carlos,Juarez,Santa Paula,2018,male
Leslie,Cornejo,Santa Paula,2020,female
Andy,Sobel,Santa Paula,2020,male
Pedro,Chavez,Santa Paula,2022,male
Jenny,Crosswhite,Santa Paula,2022,female
Carlos,Juarez,Santa Paula,2022,male
Scott,Bartley,SANTA ROSA,2010,male
Susan,Gorin,SANTA ROSA,2010,female
Jake,Ours,SANTA ROSA,2010,male
Ernesto,Olivares,Santa Rosa,2012,male
Julie,Combs,Santa Rosa,2012,female
Erin,Carlstrom,Santa Rosa,2012,female
Gary,Wysocky,Santa Rosa,2012,male
Chris,Coursey,Santa Rosa,2014,male
John,Sawyer,Santa Rosa,2014,male
Tom,Schwedhelm,Santa Rosa,2014,male
