firstname,lastname,SchoolDistrict,year,gender
Gerry,Beemiller,SUNOL GLEN UNIFIED,2010,male
Diane,Everett,SUNOL GLEN UNIFIED,2010,female
Vic,Cloutier,Sunol Glen Unified,2014,male
Don,Ball,Sunol Glen Unified,2014,male
Denise,Kent-Romo,Sunol Glen Unified,2016,female
Peter,Romo,Sunol Glen Unified,2022,male
Ryan,Jergensen,Sunol Glen Unified,2022,female
Linda,Hurley,Sunol Glen Unified,2022,female
Bunne,Hartmann,SURPRISE VALLEY JOINT UNIFIED,2010,female
Cynthia,Linker,SURPRISE VALLEY JOINT UNIFIED,2010,female
Freddy,Autenrieb,Susanville Elementary,2014,male
James,Hall,Susanville Elementary,2014,male
Camille,Buehler,Susanville Elementary,2014,female
Jenna,Aguilera,Susanville Elementary,2016,female
Pamela,Woodworth,Susanville Elementary,2016,female
Jim,Richmond,SUTTER COUNTY OFFICE OF EDUCATION,2010,male
Ronald,Turner,Sutter County Office of Education,2016,male
Jim,Richmond,Sutter County Office of Education,2018,male
June,McJunkin,Sutter County Office of Education,2020,female
Harjit,Singh,Sutter County Office of Education,2022,male
Kash,Gill,Sutter County Office of Education,2022,male
Clifton,Davis,SUTTER UNION HIGH,2010,male
Carl,Pratt,SUTTER UNION HIGH,2010,male
Jill,Wilhelm,SUTTER UNION HIGH,2010,female
Kelly,Smith,SUTTER UNION HIGH,2010,female
Larry,Munger,Sutter Union High,2022,male
Allen,Jaynes,Sutter Union High,2022,male
Carl,Pratt,Sutter Union High,2022,male
Arlie,Ricasa,SWEETWATER UNION HIGH,2010,female
Jim,Cartmill,SWEETWATER UNION HIGH,2010,male
John,McCann,SWEETWATER UNION HIGH,2010,male
Bertha,Lopez,Sweetwater Union High,2012,female
Pearl,Quinones,Sweetwater Union High,2012,female
Arturo,Solis,Sweetwater Union High,2014,male
Nicholas,Segura,Sweetwater Union High,2014,male
Kevin,Pike,Sweetwater Union High,2014,male
Paula,Hall,Sweetwater Union High,2014,female
Frank,Tatantino,Sweetwater Union High,2014,male
Kevin,Pike,Sweetwater Union High,2016,male
Adrian,Arancibia,Sweetwater Union High,2020,female
Elva,Lopez-Zepeda,Sweetwater Union High,2022,female
Marti,Emerald,Sweetwater Union High,2022,female
Jennifer,Miyakawa,Sylvan Union Elementary,2011,female
David,Collins,Sylvan Union Elementary,2011,male
Christine,Harvey,Sylvan Union Elementary,2017,female
Joni,Griepp,Sylvan Union Elementary,2022,male
Christine,Harvey,Sylvan Union Elementary,2022,female
James,Carter,Taft City,2022,male
Les,Clark,Taft City,2022,male
Michael,McCormick,Taft City Elementary,2014,male
Les,Clark,Taft City Elementary,2014,male
Ken,Anderson,TAFT UNION HIGH,2010,male
Stan,Barrett,TAFT UNION HIGH,2010,male
Carl,"Twisselman, III",TAFT UNION HIGH,2010,male
George,Harmer,Taft Union High,2012,male
Tom,White,Taft Union High,2012,male
Paul,Linder,Taft Union High,2014,male
"""Rick""","Twisselman, III",Taft Union High,2014,male
Julie,Ortlieb,Taft Union High,2014,female
John,Kopp,Taft Union High,2016,male
Wendy,Berry,Taft Union High,2016,female
Paul,Linder,Taft Union High,2018,male
Mary,Hagstorm,Taft Union High,2018,female
Julie,Ortlieb,Taft Union High,2018,female
Jeremy,Harmer,Taft Union High,2020,male
John,Kopp,Taft Union High,2020,male
Denyelle,Nishimori,Tahoe-Truckee Unified,2022,female
Patrick,Mooney,Tahoe-Truckee Unified,2022,male
Dianna,Driller,Tahoe-Truckee Unified,2022,female
Chuck,Ford,Tamalpais Union High,2013,male
Laura,Herbert Anderson,Tamalpais Union High,2013,female
Sheri,Mowbray,Tamalpais Union High,2013,female
Michael,Futterman,Tamalpais Union High,2015,male
Leslie,Lundgren,Tamalpais Union High,2015,female
Barbara,Owens,Tamalpais Union High,2015,female
Kevin,Saavedra,Tamalpais Union High,2018,male
Cynthia,Roenisch,Tamalpais Union High,2018,female
Daniel,Oppenheim,Tamalpais Union High,2018,male
Leslie,Harlander,Tamalpais Union High,2020,female
Karen,Loebaka,Tamalpais Union High,2020,female
Kevin,Saavedra,Tamalpais Union High,2022,male
Cynthia,Roenisch,Tamalpais Union High,2022,female
Emily,Uhlhorn,Tamalpais Union High,2022,female
Chris,Duff,TEHACHAPI UNIFIED,2010,male
Chuck,Hansen,TEHACHAPI UNIFIED,2010,male
Diane,Peterson,TEHACHAPI UNIFIED,2010,female
Leonard,Evansic,Tehachapi Unified,2012,male
Joe,Wallek,Tehachapi Unified,2014,male
Teresa,Foley,Tehachapi Unified,2014,female
Rick,Scott,Tehachapi Unified,2018,male
Nancy,Weinstein,Tehachapi Unified,2018,female
Tyler,Napier,Tehachapi Unified,2020,male
Tracy,Kelly,Tehachapi Unified,2020,female
Paul,Kaminski,Tehachapi Unified,2022,male
W.,Cooper,Tehachapi Unified,2022,male
Deborah,Du-Sorenson,Tehachapi Unified,2022,female
Cassandra,Sweeney,Tehachapi Unified,2022,female
Carrie,Austin,TELECHAPI UNIFIED,2010,female
Patty,Snyder,TELECHAPI UNIFIED,2010,female
Tim,Traynham,TELECHAPI UNIFIED,2010,male
Kristi,Rutz-Robbins,Temecula Unified,2016,female
Richard,Shafer,TEMECULA VALLEY UNIFIED,2010,male
Vincent,O'Neal,TEMECULA VALLEY UNIFIED,2010,male
Bob,Brown,TEMECULA VALLEY UNIFIED,2010,male
Kevin,Hill,Temecula Valley Unified,2014,male
Sandy,Hinkson,Temecula Valley Unified,2014,female
Julie,Farnbach,Temecula Valley Unified,2014,female
Adam,Skumawitz,Temecula Valley Unified,2018,male
Sandy,Hinkson,Temecula Valley Unified,2018,female
Barbara,Brosch,Temecula Valley Unified,2018,female
Steve,Loner,Temecula Valley Unified,2020,male
Steven,Schwartz,Temecula Valley Unified,2020,male
Danny,Gonzalez,Temecula Valley Unified,2022,male
Joseph,Komrosky,Temecula Valley Unified,2022,male
Allison,Barclay,Temecula Valley Unified,2022,male
Jennifer,Wiersma,Temecula Valley Unified,2022,female
Kien,Tiet,Temple City Unified,2011,male
Robert,Ridley,Temple City Unified,2011,male
Kenneth,Knollenberg,Temple City Unified,2011,male
Larry,Marston,Temple City Unified,2015,male
Kenneth,Knollenberg,Temple City Unified,2015,male
Robert,Ridley,Temple City Unified,2015,male
Mike,Lin,Temple City Unified,2018,male
Matt,Smith,Temple City Unified,2018,male
Donna,Georgino,Temple City Unified,2018,female
Melissa,Espinoza,Temple City Unified,2020,female
Mary,Sneed,Temple City Unified,2020,female
Matt,Smith,Temple City Unified,2020,male
Nelson,Yamagata,TEMPLETON UNIFIED,2010,male
Lisa,Hammond,TEMPLETON UNIFIED,2010,female
Nelson,Yamagata,Templeton Unified,2016,male
Brenda,Gray,Templeton Unified,2016,female
Ted,Dubost,Templeton Unified,2016,male
Matt,Vierra,Templeton Unified,2018,male
Jan,Nimick,Templeton Unified,2018,female
Nelson,Yamagata,Templeton Unified,2020,male
Ted,Dubost,Templeton Unified,2020,male
Mendi,Swan,Templeton Unified,2020,female
Janel,Armet,Templeton Unified,2022,male
Jennifer,Grinager,Templeton Unified,2022,female
David,Lopez,TERRA BELLA UNION ELEMENTARY,2010,male
Suzanne,Lujan,TERRA BELLA UNION ELEMENTARY,2010,female
Vicki,Jaggers,TERRA BELLA UNION ELEMENTARY,2010,female
Mariana,Lopez,Terra Bella Union Elementary,2012,female
Juan,Figueroa Jr.,Terra Bella Union Elementary,2012,female
Alfredo,Beltran,Terra Bella Union Elementary,2020,male
Mariana,Lopez,Terra Bella Union Elementary,2020,female
Anthony,Giannetto,Terra Bella Union Elementary,2022,male
Steven,Cole,Terra Bella Union Elementary,2022,male
Sherry,Shannon,Terra Bella Union Elementary,2022,female
Pang,Xiong,THERMALITO UNION ELEMENTARY,2010,female
Darlene,Fultz,THERMALITO UNION ELEMENTARY,2010,female
Heather,Walker,THERMALITO UNION ELEMENTARY,2010,female
Lena,Correa,Thermalito Union Elementary,2012,female
Susan,Dunn,Thermalito Union Elementary,2012,female
Darlene,Fultz,Thermalito Union Elementary,2014,female
Brenda,Ielati,Thermalito Union Elementary,2014,female
Gail,Shields,Thermalito Union Elementary,2014,female
Alicia,Walker,Thermalito Union Elementary,2016,female
Tori,Anderson,Thermalito Union Elementary,2016,female
Mark,Walker,Thermalito Union Elementary,2018,male
Jaymes,Lackey,Thermalito Union Elementary,2018,male
Darlene,Fultz,Thermalito Union Elementary,2018,female
Tracell,Biddle-Lewis,Thermalito Union Elementary,2020,female
Richard,Meyer,Thermalito Union Elementary,2020,male
Mark,Walker,Thermalito Union Elementary,2022,male
Jaymes,Lackey,Thermalito Union Elementary,2022,male
Darlene,Fultz,Thermalito Union Elementary,2022,female
George,Kulick,THREE RIVERS UNION ELEMENTARY,2010,male
Scott,Sherwood,THREE RIVERS UNION ELEMENTARY,2010,male
Sue,Winters,THREE RIVERS UNION ELEMENTARY,2010,female
George,Kulick,Three Rivers Union Elementary,2014,male
Scott,Sherwood,Three Rivers Union Elementary,2014,male
Sue,Winters,Three Rivers Union Elementary,2014,female
Peter,Mestaz,Three Rivers Union Elementary,2022,male
Ryan,Sager,Three Rivers Union Elementary,2022,female
Sean,Boerke,Three Rivers Union Elementary,2022,female
John,Cardoza,Tipton Elemenntary,2014,male
Iva,Leal-Sousa,Tipton Elemenntary,2014,female
Greg,Rice,Tipton Elemenntary,2014,male
Iva,Sousa,Tipton Elementary,2022,female
John,Cardoza,Tipton Elementary,2022,male
Greg,Rice,Tipton Elementary,2022,male
Mark,Steffen,Torrance Unified,2013,male
Michael,Wermers,Torrance Unified,2013,male
Martha,Deutsch,Torrance Unified,2013,female
Don,Lee,Torrance Unified,2015,male
Terry,Ragins,Torrance Unified,2015,male
James,Han,Torrance Unified,2018,male
Betty,Lieu,Torrance Unified,2018,female
Jeremy,Gerson,Torrance Unified,2018,male
Jasmine,Park,Torrance Unified,2020,female
Anil,Muhammed,Torrance Unified,2020,male
Jeremy,Silcox,Tracy Joint Unified,2022,male
R.G.,Fagin,Tracy Joint Unified,2022,male
Stephen,Abercrombie,Tracy Joint Unified,2022,male
Olinga,Yarber-Alexander,Tracy Joint Unified,2022,female
Dan,Arriola,Tracy Unified,2016,female
Sondra,Gilbert,Tracy Unified,2016,female
Jill,Costa,Tracy Unified,2016,female
Simran,Kaur,Tracy Unified,2018,female
Lori,Souza,Tracy Unified,2018,female
Stephen,Abercrombie,Tracy Unified,2018,male
Ameni,Alexander,Tracy Unified,2018,male
Ana,Blanco,Tracy Unified,2020,female
Zachary,Hoffert,Tracy Unified,2020,male
Nathalia,Erskine,Tracy Unified,2020,female
Ivery,Hood,Travis Unified,2011,male
Angela,Weinzinger,Travis Unified,2011,female
Riitta,De Anda,Travis Unified,2013,female
John,Dickerson,Travis Unified,2013,male
Riita,DeAnda,Travis Unified,2018,female
Janet,Forbes,Travis Unified,2018,female
Manveer,Sandhu,Travis Unified,2020,male
Ivery,Hood,Travis Unified,2020,male
Meghan,Thompson,Travis Unified,2020,female
Will,Wade,Travis Unified,2022,male
Matthew,Bidou,Travis Unified,2022,male
Jessica,Eisner,Trinidad Union Elementary,2018,female
Dan,Beans,Trinity Alps Unified,2013,female
Lynne,Gervasi,Trinity Alps Unified,2015,female
Ray,Richardson,TRONA JOINT UNIFIED,2010,male
Trisha,Funke,TRONA JOINT UNIFIED,2010,female
Deana,Garrison,TRONA JOINT UNIFIED,2010,female
Samantha,MacLean,Trona Joint Unified,2012,female
Sandra,Sprouse,Trona Joint Unified,2012,female
Raymond,Richardson,Trona Joint Unified,2014,male
Christina,Celaya,Trona Joint Unified,2014,female
Trisha,Funke,Trona Joint Unified,2014,female
Deana,Garrison,Trona Joint Unified,2014,female
Skylar,McCullar,Trona Joint Unified,2022,male
Cathy,Heseman,Trona Joint Unified,2022,female
Priscilla,Benadom,Trona Joint Unified,2022,female
Connie,Diaz,Tulare City,2022,female
Phil,Plascencia,Tulare City Elementary,2014,male
Daniel,Enriquez,Tulare City Elementary,2020,male
Connie,Diaz,Tulare City Elementary,2020,female
Deborah,Holguin,TULARE COUNTY OFFICE OF EDUCATION,2010,female
Tom,Link,Tulare County Office of Education,2012,male
Judy,Coble,Tulare County Office of Education,2018,female
Deborah,Holguin,Tulare County Office of Education,2020,female
Tom,Link,Tulare County Office of Education,2020,male
Laura,Fonseca,TULARE JOINT UNION HIGH,2010,female
Craig,Hamilton,TULARE JOINT UNION HIGH,2010,male
Steven,Lessley,TULARE JOINT UNION HIGH,2010,male
Frank,Fernandes,Tulare Joint Union High,2016,male
Penny,Velador,Tulelake Basin Joint Unified,2012,female
David,Misso,Tulelake Basin Joint Unified,2012,male
Dan,Orr,Tulelake Basin Joint Unified,2012,female
Rose,Wingo,Tuolumne County Office of Education,2018,female
Harinder,Grewal,Turlock Joint Unified,2011,male
Frank,Lima,Turlock Joint Unified,2011,male
Grady,Welch,Turlock Joint Unified,2011,male
Eileen,Hamilton,Turlock Joint Unified,2011,female
Jennifer,Carter,Turlock Joint Unified,2013,female
Deborah,Martin,Turlock Joint Unified,2013,female
Jeffrey,Cortinas,Turlock Joint Unified,2018,male
Mary,Jackson,Turlock Joint Unified,2018,female
Jose,Sanchez,Turlock Unified,2020,male
Daniel,Benedict,Turlock Unified,2020,male
Rupinder,Jagpal,Turlock Unified,2022,male
Paola,Maldonado-Padilla,Turlock Unified,2022,female
Mary,Jackson,Turlock Unified,2022,female
Jeff,Nichols,Turlock Unified,2022,male
Lori,Carlson,Turlock Unified,2022,female
Jonathan,Abelove,TUSTIN UNIFIED,2010,female
Lynn,Davis,TUSTIN UNIFIED,2010,female
James,Laird,Tustin Unified,2012,male
Tammie,Bullard,Tustin Unified,2012,female
Francine,Scinto,Tustin Unified,2012,female
Lynn,Davis,Tustin Unified,2014,female
Jonathan,Abelove,Tustin Unified,2014,female
James,Laird,Tustin Unified,2016,male
Tammie,Bullard,Tustin Unified,2016,female
Francine,Scinto,Tustin Unified,2016,female
Jonathan,Abelove,Tustin Unified,2018,female
Allyson,Damikolas,Tustin Unified,2020,female
James,Laird,Tustin Unified,2020,male
Lynn,Davis,Tustin Unified,2022,female
Rose,Wingo,Twain Harte Elementary,2016,female
Elisha,Wingo,Twain Harte Elementary,2016,female
Tim,Hoffman-Brady,Twain Harte-Long Barn Uinion Elementary,2014,male
Ronda,Bailey,Twain Harte-Long Barn Uinion Elementary,2014,female
Lisa,Brady,Twain Harte-Long Barn Uinion Elementary,2014,female
Ralph,Henson,Twin Ridges Elementary,2014,male
Rebecca,Wayman,Twin Ridges Elementary,2014,female
Mindi,Morton,Twin Ridges Elementary,2014,female
Jessica,Randolph,Twin Ridges Elementary,2016,female
Stefanie,Freydont,Twin Ridges Elementary,2016,female
Walter,Kawamoto,Twin Rivers Unified,2012,male
Cortez,Quinn,Twin Rivers Unified,2012,male
Rebecca,Sandoval,Twin Rivers Unified,2012,female
John,Dexter,Twin Rivers Unified,2012,male
Michael,Baker,Twin Rivers Unified,2012,male
Linda,Fowler,Twin Rivers Unified,2012,female
Michelle,Rivas,Twin Rivers Unified,2014,female
Rebecca,Sandoval,Twin Rivers Unified,2014,female
Sonja,Cameron,Twin Rivers Unified,2015,female
Ramona,Landeros,Twin Rivers Unified,2016,female
Basim,Elkarra,Twin Rivers Unified,2016,male
Linda,Fowler,Twin Rivers Unified,2016,female
Rebecca,Sandoval,Twin Rivers Unified,2018,female
Basim,Elkarra,Twin Rivers Unified,2020,male
Linda,Fowler,Twin Rivers Unified,2020,female
Rebecca,Sandoval,Twin Rivers Unified,2022,female
Stacey,Bastian,Twin Rivers Unified,2022,female
Gail,Monpere,Ukiah Unified,2011,female
Megan,Van Sant,Ukiah Unified,2011,female
Anne,Molgaard,Ukiah Unified,2011,female
Carolyn,Barrett,Ukiah Unified,2013,female
Susan,Asbury,Ukiah Unified-North,2020,female
Sheila,Billings,UNION ELEMENTARY,2010,female
Cindy,Goodsell,UNION ELEMENTARY,2010,female
Janice,Hector,UNION ELEMENTARY,2010,female
Harold,Stuart,Union Elementary,2012,male
Vickie,Brown,Union Elementary,2012,female
Thomas,Rossmeissl,Union Elementary,2018,male
Douglas,Evans,Union Elementary,2018,male
Sheila,Billings,Union Elementary,2018,female
Thomas,Rossmeissl,Union Elementary,2022,male
Douglas,Evans,Union Elementary,2022,male
Sheila,Billings,Union Elementary,2022,female
Jason,Jones,Union Hill Elementary,2016,male
Dorothy,Goodnow,Union Hill Elementary,2016,female
Wes,Fifield,UPLAND UNIFIED,2010,male
P.,Lenz,UPLAND UNIFIED,2010,male
Michael,Varela,UPLAND UNIFIED,2010,male
Steven,Frazee,Upland Unified,2012,male
Linda,Angona,Upland Unified,2012,female
Michael,Varela,Upland Unified,2014,male
Wes,Fifield,Upland Unified,2014,male
Philip,Lenz,Upland Unified,2014,male
Jack,Young,Upland Unified,2016,male
Linda,Angona,Upland Unified,2016,female
Wes,Fifield,Upland Unified,2018,male
Robert,Bennett,Upland Unified,2018,male
Mary,Locke,Upland Unified,2018,female
Jack,Young,Upland Unified,2020,male
Sherman,Garnett,Upland Unified,2020,female
Chris,Cruz,Upland Unified,2022,male
Mary,Locke,Upland Unified,2022,female
Ana,Santana,Upper Lake Unified,2018,female
Franklin,Gudmundson,Upper Lake Unified,2018,female
Claudine,Pedroncelli,Upper Lake Unified,2018,female
Diane,Plante,Upper Lake Unified,2018,female
Ronald,Raetz,Upper Lake Unified,2018,male
Franklin,Gudmundson,Upper Lake Unified,2020,female
Claudine,Pedroncelli,Upper Lake Unified,2020,female
Ronald,Raetz,Upper Lake Union Elementary,2011,male
Mel,O'Meara,Upper Lake Union Elementary,2011,male
Don,Meri,Upper Lake Union Elementary,2013,male
Diane,Tomkins Plante,Upper Lake Union Elementary,2013,female
Joanne,Breton,Upper Lake Union Elementary,2013,female
Mel,O'Meara,Upper Lake Union Elementary,2015,male
Ronald,Raetz,Upper Lake Union Elementary,2015,male
Richard,Swaney,Upper Lake Union High,2011,male
Keith,Austin,Upper Lake Union High,2011,male
Jerry,Eaton,Vacaville Unified,2011,male
Larry,Mazzuca,Vacaville Unified,2011,male
Michael,Kitzes,Vacaville Unified,2011,male
Sherie,Mahlberg,Vacaville Unified,2011,female
Whit,Whitman,Vacaville Unified,2014,male
Jeremy,Jeffereys,Vacaville Unified,2014,male
Shawn,Windham,Vacaville Unified,2014,male
Michele,Dally,Vacaville Unified,2014,female
John,Jansen,Vacaville Unified,2018,male
Michele,Dally,Vacaville Unified,2018,female
Michael,Silva,Vacaville Unified,2018,male
Michael,Kitzes,Vacaville Unified,2020,male
Kelly,Welsh,Vacaville Unified,2020,female
Nancy,Dunn,Vacaville Unified,2022,female
Amy,Russell,Vacaville Unified,2023,female
Lindsay,Kelly,Vacaville Unified,2023,female
Wraymond,Sawyerr,VAL VERDE UNIFIED,2010,male
Michael,Vargas,VAL VERDE UNIFIED,2010,male
D.,Yarbrough,VAL VERDE UNIFIED,2010,female
Suzanne,Stotlar,Val Verde Unified,2012,female
Marla,Kirkland,Val Verde Unified,2012,female
Julio,Gonzalez,Val Verde Unified,2014,male
Michael,Vargas,Val Verde Unified,2014,male
D.,Yarbrough,Val Verde Unified,2014,female
Matthew,Serafin,Val Verde Unified,2016,male
Maria,Kirkland,Val Verde Unified,2016,female
Marisol,Roque,Val Verde Unified,2018,female
Ty,Liddell,Val Verde Unified,2018,male
Marla,Kirkland,Val Verde Unified,2020,female
Daniel,Aquino,Val Verde Unified,2022,male
Erika,Zamora,Val Verde Unified,2022,female
Melinda,Young,Val Verde Unified,2022,female
Rudy,Martinez,Valle Lindo Elementary,2013,male
Gloria,Olmos,Valle Lindo Elementary,2013,female
Veronica,Lauria,Valle Lindo Elementary,2013,female
Veronica,Castillo,Valle Lindo Elementary,2015,female
Richard,Angel,Valle Lindo Elementary,2015,male
Rudy,Martinez,Valle Lindo Elementary,2022,male
Jacqueline,Rubio,Valle Lindo Elementary,2022,female
Veronica,Lauria,Valle Lindo Elementary,2022,female
Robert,Hecocks,Vallecito Union,2022,male
Shannon,Simpson,Vallecito Union,2022,male
Jessica,Hitchcock,Vallecito Union,2022,female
Ralph,Emerson,VALLECITO UNION ELEMENTARY,2010,male
Michael,Milward,VALLECITO UNION ELEMENTARY,2010,male
Jill,Bray,VALLECITO UNION ELEMENTARY,2010,female
Wayne,Harrison,Vallecito Union Elementary,2012,male
Carol,Gordon,Vallecito Union Elementary,2012,female
Colby,Barker,Vallecito Union Elementary,2014,male
Alison,Heermance,Vallecito Union Elementary,2014,male
Tom,Pratt,Vallecito Union Elementary,2014,male
Jason,Burita,Vallecito Union Elementary,2016,male
Ralph,Emerson,Vallecito Union Elementary,2016,male
Susan,Singleton,Vallecito Union Elementary,2016,female
Mark,Dyken,Vallecito Union Elementary,2018,male
Tom,Pratt,Vallecito Union Elementary,2018,male
Sarah,Wilson,Vallecito Union Elementary,2018,female
Michelle,Lalonde,Vallecitos Elementary,2016,female
Rae,Heilbrown,Vallecitos Elementary,2016,female
Tony,Ubalde,Vallejo City Unified,2011,male
Tony,Ubalde,Vallejo City Unified,2014,male
Burky,Worel,Vallejo City Unified,2014,male
Richard,Porter,Vallejo City Unified,2014,male
Ruscal,Cayangyang,Vallejo City Unified,2016,male
Bob,Lawson,Vallejo City Unified,2016,male
Marianne,Kearney-Brown,Vallejo City Unified,2016,female
Tony,Ubalde,Vallejo City Unified,2018,male
John,Fox,Vallejo City Unified,2018,male
Ralph,Gross,Vallejo City Unified,2018,male
Latyna,Young,Vallejo City Unified,2020,female
Christy,Gardner,Vallejo City Unified,2020,female
John,Fox,Vallejo City Unified,2022,male
Michael,Robledo,Valley Center-Pauma Unfied,2012,male
Don,Martin,Valley Center-Pauma Unfied,2012,male
Mary,Polito,Valley Center-Pauma Unfied,2012,female
Jerry,Fenton,Valley Center-Pauma Unified,2014,male
Jarry,West,Valley Center-Pauma Unified,2014,male
Julie,Stroh,Valley Center-Pauma Unified,2014,female
Mary,Polito,Valley Center-Pauma Unified,2016,female
Bart,Schwarz,Valley Center-Pauma Unified,2016,male
Wendy,Heredia,Valley Center-Pauma Unified,2018,female
Craig,Adams,Valley Center-Pauma Unified,2018,male
Mike,Adams,Valley Center-Pauma Unified,2018,male
Julie,Stroh,Valley Center-Pauma Unified,2018,female
Mary,Polito,Valley Center-Pauma Unified,2020,female
Julie,Stroh,Valley Center-Pauma Unified,2022,female
Larry,Betschart,Valley Home Joint Elementary,2011,male
Heather,Duvall,Valley Home Joint Elementary,2011,female
Shara,Ruddy,Valley Home Joint Elementary,2011,female
Christopher,Hempleman,Valley Home Joint Elementary,2013,male
Julie,Haynes,Valley Home Joint Elementary,2013,female
Erin,Wells,Valley Home Joint Elementary,2017,female
Dianne,McKay,VENTURA COMMUNITY COLLEGE,2010,female
Bernardo,Perez,Ventura Community College,2012,male
Larry,Kennedy,Ventura Community College,2012,male
Dianne,McKay,Ventura Community College,2014,female
Gabriela,Torres,Ventura Community College,2018,female
Joshua,Chancer,Ventura Community College,2018,male
Dianne,McKay,Ventura Community College,2018,female
Bernardo,Perez,Ventura Community College,2020,male
Stan,Mantooth,Ventura Community College,2020,male
Lou,Lichtl,Ventura County Community College,2022,male
Marty,Bates,VENTURA COUNTY OFFICE OF EDUCATION,2010,male
Rachel,Ulrich,VENTURA COUNTY OFFICE OF EDUCATION,2010,female
Dean,Kunicki,VENTURA COUNTY OFFICE OF EDUCATION,2010,female
Rachel,Ulrich,Ventura County Office of Education,2014,female
Mike,Teasdale,Ventura County Office of Education,2018,male
Rob,Collins,Ventura County Office of Education,2018,male
Mike,Teasdale,Ventura County Office Of Education,2022,male
Rachel,Ulrich,Ventura County Office Of Education,2022,female
Sabrena,Rodriguez,Ventura Unified,2016,female
Jackie,Moran,Ventura Unified,2016,female
Jerry,Dannenberg,Ventura Unified,2018,male
Velma,Lomax,Ventura Unified,2018,female
Amy,Callahan,Ventura Unified,2020,female
James,Forsythe,Ventura Unified,2022,male
Elise,Brown,VICTOR ELEMENTARY,2010,female
Karen,Morgan,VICTOR ELEMENTARY,2010,female
Lionel,Dew,VICTOR ELEMENTARY,2010,male
Gary,Elder,VICTOR ELEMENTARY,2010,male
Gabriel,Stine,Victor Elementary,2012,male
Joyce,Chamberlain,Victor Elementary,2012,female
Gary,Elder,Victor Elementary,2014,male
Clayton,Moore,Victor Elementary,2014,male
Karen,Morgan,Victor Elementary,2014,female
Gabriel,Stine,Victor Elementary,2016,male
Joyce,Chamberlain,Victor Elementary,2016,female
Clayton,Moore,Victor Elementary,2018,male
Gabriel,Stine,Victor Elementary,2020,male
Susan,Brannon,Victor Elementary,2020,female
Lorrie,Denson,VICTOR VALLEY COMMUNITY COLLEGE,2010,female
Michael,Krause,VICTOR VALLEY COMMUNITY COLLEGE,2010,male
Dennis,Henderson,VICTOR VALLEY COMMUNITY COLLEGE,2010,male
John,Pinkerton,Victor Valley Community College,2012,male
Joseph,Brady,Victor Valley Community College,2012,male
Adele,Turner-McClain,Victor Valley Community College,2014,female
Dennis,Henderson,Victor Valley Community College,2014,male
Brandon,Wood,Victor Valley Community College,2014,male
Marianne,Tortorici,Victor Valley Community College,2014,female
Thomas,Kerman,Victor Valley Community College,2016,male
John,Pinkerton,Victor Valley Community College,2016,male
Joseph,Brady,Victor Valley Community College,2016,male
Dennis,Henderson,Victor Valley Community College,2018,male
Joseph,Brady,Victor Valley Community College,2018,male
Brandon,Wood,Victor Valley Community College,2018,male
Joseph,Brady,Victor Valley Community College,2022,male
Brandon,Wood,Victor Valley Community College,2022,male
Evelyn,Glasper,VICTOR VALLEY UNION HIGH,2010,female
Ensen,Mason,VICTOR VALLEY UNION HIGH,2010,male
Duneen,De Bruhl,VICTOR VALLEY UNION HIGH,2010,female
Derek,King,Victor Valley Union High,2012,male
Barbara,Dew,Victor Valley Union High,2012,female
Tim,Norton,Victor Valley Union High,2014,male
Penny,Edmiston,Victor Valley Union High,2014,female
Timothy,Hauk,Victor Valley Union High,2014,male
Jose,Berrios,Victor Valley Union High,2016,male
Barbara,Dew,Victor Valley Union High,2016,female
Joshua,Garcia,Victor Valley Union High,2018,male
Timothy,Haulk,Victor Valley Union High,2018,male
Penny,Edmiston,Victor Valley Union High,2018,female
Caleb,Castaneda,Victor Valley Union High,2019,male
Jose,Berrios,Victor Valley Union High,2020,male
Barbara,Dew,Victor Valley Union High,2020,female
Rosalio,Hinojos,Victor Valley Union High,2022,male
Kent,Crosby,Victor Valley Union High,2022,male
Viviana,Ramirez,VINELAND ELEMENTARY,2010,female
Andy,Stenderup,VINELAND ELEMENTARY,2010,male
Steve,Hallum,VINELAND ELEMENTARY,2010,male
Francisca,Hernandez,Vineland Elementary,2012,female
Leticia,Prado,Vineland Elementary,2012,female
Freddy,Medina,Vineland Elementary,2014,male
Viviana,Ramirez,Vineland Elementary,2014,female
Andy,Stenderup,Vineland Elementary,2014,male
Edelmira,Gonzalez,Vineland Elementary,2016,female
Leticia,Prado,Vineland Elementary,2016,female
Mario,Pena,Vineland Elementary,2018,male
Francisco,"Segura, Jr.",Vineland Elementary,2018,male
Alejandra,Segura,Vineland Elementary,2018,female
Alejandra,Segura,Vineland Elementary,2022,female
Tiffany,Castillo-Gonzalez,Vineland Elementary,2022,female
Francisco,Segura,Vineland Elementary,2022,male
Lucia,Vazquez,Visalia Unified,2011,female
William,Fulmer,Visalia Unified,2011,male
Donna,Martin,Visalia Unified,2011,female
Jim,Qualls,Visalia Unified,2013,male
Juan,Guerrero,Visalia Unified,2013,female
Charles,Ulmschneider,Visalia Unified,2013,male
David,Alviso,Visalia Unified,2013,male
Patricia,Griswold,Visalia Unified,2016,female
Walta,Gamoian,Visalia Unified,2018,female
John,Crabtree,Visalia Unified,2018,male
Niessen,Foster,Visalia Unified,2018,male
Joy,Naylor,Visalia Unified,2018,female
